id;devicepattern_id;devicepattern_code;memo;creuser;cretime;moduser;modtime
1;Orchestrator PNG;action-items payment;Division;Ouguiya;2020-12-28T07:22:27;Future empower Shoes;2020-12-28T02:04:06
2;leading edge;navigating;Ameliorated;Mozambique whiteboard Investment Account;2020-12-28T01:07:44;Awesome;2020-12-28T03:21:12
3;6th generation;toolset;Intelligent Granite Keyboard;Handcrafted convergence;2020-12-28T00:23:19;envisioneer Awesome Fresh Cheese Towels;2020-12-27T17:30:15
4;enhance;Cambridgeshire Administrator;calculate;Small Cotton Shirt;2020-12-27T19:17:29;Ball Team-oriented digital;2020-12-27T22:49:48
5;synthesize;multi-tasking;platforms firewall redundant;cyan cross-platform;2020-12-28T12:36:03;Meadow Benin;2020-12-28T04:36:25
6;sky blue Investment Account;user-centric auxiliary Bedfordshire;Sausages;Ford;2020-12-28T08:18:43;SQL Checking Account;2020-12-27T23:57:23
7;USB Metal full-range;Future;Intelligent Monitored;Beauty;2020-12-27T17:19:27;redundant;2020-12-27T19:46:37
8;Germany;synergy;Route Buckinghamshire programming;invoice;2020-12-27T21:43:21;override Cheese wireless;2020-12-28T03:46:16
9;transmitter Chief Auto Loan Account;Costa Rican Colon programming;transmitter Car payment;Concrete;2020-12-28T02:44:51;driver Connecticut;2020-12-28T16:44:28
10;harness next-generation;Bedfordshire;Belize;Wooden calculate;2020-12-27T20:04:55;Tanzanian Shilling Madagascar;2020-12-28T13:34:47
